,tags,body
164,css,"There're plenty of different CSS shapes over at CSS Tricks - Shapes of CSS and I'm particularly puzzled with a triangle:





#triangle-up {
  width: 0;
  height: 0;
  border-left: 50px solid transparent;
  border-right: 50px solid transparent;
  border-bottom: 100px solid red;
}
&lt;div id=""triangle-up""&gt;&lt;/div&gt;




How and why does it work?
"
165,java,"I know that Java enums are compiled to classes with private constructors and a bunch of public static members. When comparing two members of a given enum, I've always used .equals(), e.g.

public useEnums(SomeEnum a)
{
    if(a.equals(SomeEnum.SOME_ENUM_VALUE))
    {
        ...
    }
    ...
}


However, I just came across some code that uses the equals operator == instead of .equals():

public useEnums2(SomeEnum a)
{
    if(a == SomeEnum.SOME_ENUM_VALUE)
    {
        ...
    }
    ...
}


Which operator is the one I should be using?
"
166,javascript,"I have a need to add or prepend elements at the beginning of an array.
For example, if my array looks like below:
[23, 45, 12, 67]

And the response from my AJAX call is 34, I want the updated array to be like the following:
[34, 23, 45, 12, 67]

Currently I am planning to do it like this:
var newArray = [];
newArray.push(response);

for (var i = 0; i &lt; theArray.length; i++) {
    newArray.push(theArray[i]);
}

theArray = newArray;
delete newArray;

Is there a better way to do this? Does JavaScript have any built-in functionality that does this?
The complexity of my method is O(n) and it would be really interesting to see better implementations.
"
167,javascript,"[1,2,3].forEach(function(el) {
    if(el === 1) break;
});


How can I do this using the new forEach method in JavaScript? I've tried return;, return false; and break. break crashes and return does nothing but continue iteration.
"
168,javascript,"I want to know how to get the X and Y position of HTML elements such as img and div in JavaScript.
"
169,python,"This has always confused me. It seems like this would be nicer:

my_list = [""Hello"", ""world""]
print(my_list.join(""-""))
# Produce: ""Hello-world""


Than this:

my_list = [""Hello"", ""world""]
print(""-"".join(my_list))
# Produce: ""Hello-world""


Is there a specific reason it is like this?
"
170,git,"I have cloned a project that includes some .csproj files. I don't need/like my local csproj files being tracked by Git (or being brought up when creating a patch), but clearly they are needed in the project.

I have added *.csproj to my LOCAL .gitignore, but the files are already in the repo.

When I type git status, it shows my changes to csproj which I am not interested in keeping track of or submitting for patches.

How do I remove the ""tracking of"" these files from my personal repo (but keep them in the source so I can use them) so that I don't see the changes when I do a status (or create a patch)?

Is there a correct/canonical way to handle this situation?
"
171,bash,"If I make changes to .bashrc, how do I reload it without logging out and back in?
"
172,git,"When I do git diff COMMIT I see the changes between that commit and HEAD (as far as I know), but I would like to see the changes that were made by that single commit.

I haven't found any obvious options on diff / log that will give me that output.
"
173,javascript,"Is it possible that using jQuery, I cancel/abort an Ajax request that I have not yet received the response from?
"
174,iis,"I've encountered an error deploying a site to a server.  When trying to load the home page, or access authentication on the new site in IIS, I get the error:


  Config Error: This configuration section cannot be used at this path.
  This happens when the section is locked at a parent level. Locking is
  either by default (overrideModeDefault=""Deny""), or set explicitly by a
  location tag with overrideMode=""Deny"" or the legacy
  allowOverride=""false"".


More detail can be found here, in Scenario 7 matches my hex error code.

The solution given on the linked site above is to set Allow for overrideModeDefault in the section mentioned in my error, in the applicationHost.config file.  In my case,  under Security in system.webServer.  But if I look at the applicationHost.config on my local computer, where the site is properly deployed already, that section is set to Deny.

If this solution is correct, how is my local instance running just fine with the same web.config?  According to my applicationHost.config, that section should be locked, but it's not.  I'd prefer to not change the applicationHost.config file, because there are many other sites running on that server.  Is there another solution?
"
175,python,"How do I see the type of a variable whether it is unsigned 32 bit, signed 16 bit, etc.?

How do I view it?
"
176,java,"What is the main difference between an inner class and a static nested class in Java? Does design / implementation play a role in choosing one of these?
"
177,android,"I created some custom elements, and I want to programmatically place them to the upper right corner (n pixels from the top edge and m pixels from the right edge). Therefore I need to get the screen width and screen height and then set position:

int px = screenWidth - m;
int py = screenHeight - n;


How do I get screenWidth and screenHeight in the main Activity?
"
178,reactjs,"With react-router I can use the Link element to create links which are natively handled by react router. 

I see internally it calls this.context.transitionTo(...).

I want to do a navigation. Not from a link, but from a dropdown selection (as an example). How can I do this in code? What is this.context? 

I saw the Navigation mixin, but can I do this without mixins?
"
179,javascript,"I would like to check whether a variable is either an array or a single value in JavaScript.

I have found a possible solution...

if (variable.constructor == Array)...


Is this the best way this can be done?
"
180,linux,"How do I recursively grep all directories and subdirectories?

find . | xargs grep ""texthere"" *

"
181,c++,"I just finished listening to the Software Engineering radio podcast interview with Scott Meyers regarding C++0x. Most of the new features made sense to me, and I am actually excited about C++0x now, with the exception of one. I still don't get move semantics... What is it exactly?
"
182,git,"I am using Git and I have committed few files using 

git commit -a


Later, I found that a file had mistakenly been added to the commit.

How can I remove a file from the last commit?
"
183,c++,"I've been writing C and C++ code for almost twenty years, but there's one aspect of these languages that I've never really understood. I've obviously used regular casts i.e.

MyClass *m = (MyClass *)ptr;


all over the place, but there seem to be two other types of casts, and I don't know the difference. What's the difference between the following lines of code?

MyClass *m = (MyClass *)ptr;
MyClass *m = static_cast&lt;MyClass *&gt;(ptr);
MyClass *m = dynamic_cast&lt;MyClass *&gt;(ptr);

"
184,orm,"The ""N+1 selects problem"" is generally stated as a problem in Object-Relational mapping (ORM) discussions, and I understand that it has something to do with having to make a lot of database queries for something that seems simple in the object world.

Does anybody have a more detailed explanation of the problem?
"
185,design-patterns,"What real (i.e. practical) difference exists between a static class and a singleton pattern?

Both can be invoked without instantiation, both provide only one ""Instance"" and neither of them is thread-safe. Is there any other difference?
"
186,java,"I came across some Java code that had the following structure:

public MyParameterizedFunction(String param1, int param2)
{
    this(param1, param2, false);
}

public MyParameterizedFunction(String param1, int param2, boolean param3)
{
    //use all three parameters here
}


I know that in C++ I can assign a parameter a default value.  For example:

void MyParameterizedFunction(String param1, int param2, bool param3=false);


Does Java support this kind of syntax?  Are there any reasons why this two step syntax is preferable?
"
187,linux,"Before installing gnuplot, I set the environment variable GNUPLOT_DRIVER_DIR = /home/gnuplot/build/src. During the installation, something went wrong.

I want to remove the GNUPLOT_DRIVER_DIR environment variable. How can I achieve it?
"
188,ios,"What do atomic and nonatomic mean in property declarations?

@property(nonatomic, retain) UITextField *userName;
@property(atomic, retain) UITextField *userName;
@property(retain) UITextField *userName;


What is the operational difference between these three?
"
189,git,"I cloned a Git repository, which contains about five branches. However, when I do git branch I only see one of them:

$ git branch
* master


I know that I can do git branch -a to see all the branches, but how would I pull all the branches locally so when I do git branch, it shows the following?

$ git branch
* master
* staging
* etc...

"
190,bash,"How do I iterate over a range of numbers in Bash when the range is given by a variable?

I know I can do this (called ""sequence expression"" in the Bash documentation):

 for i in {1..5}; do echo $i; done


Which gives:


  1 
  2 
  3 
  4 
  5


Yet, how can I replace either of the range endpoints with a variable? This doesn't work:

END=5
for i in {1..$END}; do echo $i; done


Which prints:


  {1..5}

"
191,postgresql,"What command or short key can I use to exit the PostgreSQL command line utility psql?
"
192,notepad++,"I have Notepad++ and I got some XML code which is very long. When I pasted it in Notepad++ there was a long line of code (difficult to read and work with).

I want to know if there is a simple way to make the text readable (by readable I mean properly tabbed code).

I can do it manually, but I want a permanent solution to this as I have faced this several times. I am sure there is a way to do this as I have done it once before a couple of years back, maybe with Visual Studio or some other editor, I don't remember.

But can Notepad++ do it?
"
193,git,"I have two branches in my Git repository:


master
seotweaks (created originally from master)


I created seotweaks with the intention of quickly merging it back into master. However, that was three months ago and the code in this branch is 13 versions ahead of master.

It has effectively become our working master branch as all the code in master is more or less obsolete now.

Very bad practice I know, lesson learned.

Do you know how I can replace all of the contents of the master branch with those in seotweaks?

I could just delete everything in master and merge, but this does not feel like best practice.
"
194,c++,"What exactly does putting extern ""C"" into C++ code do?

For example:

extern ""C"" {
   void foo();
}

"
195,git,"I am running into this error of: 

$ git push heroku master
Warning: Permanently added the RSA host key for IP address '50.19.85.132' to the list of known hosts.
!  Your key with fingerprint b7:fd:15:25:02:8e:5f:06:4f:1c:af:f3:f0:c3:c2:65 is not authorized to access bitstarter.


I tried to add the keys and I get this error below:

$ ssh-add ~/.ssh/id_rsa.pub
Could not open a connection to your authentication agent.

"
196,javascript,"I want to be able to preview a file (image) before it is uploaded.  The preview action should be executed all in the browser without using Ajax to upload the image.

How can I do this?
"
197,git,"How can I stash a specific file leaving the others currently modified out of the stash I am about to save?

For example, if git status gives me this:

younker % gst      
# On branch master
# Your branch is ahead of 'origin/master' by 1 commit.
#
# Changes not staged for commit:
#   (use ""git add &lt;file&gt;..."" to update what will be committed)
#   (use ""git checkout -- &lt;file&gt;..."" to discard changes in working directory)
#
#   modified:   app/controllers/cart_controller.php
#   modified:   app/views/cart/welcome.thtml
#
no changes added to commit (use ""git add"" and/or ""git commit -a"")


and I only want to stash app/views/cart/welcome.thtml, how would I do that? Something like (but of course this does not work):

git stash save welcome_cart app/views/cart/welcome.thtml

"
198,python,"How do I remove an element from a list by index in Python?

I found the list.remove method, but say I want to remove the last element, how do I do this? It seems like the default remove searches the list, but I don't want any search to be performed.
"
199,javascript,"Is there any way to disable the Same-origin policy on Google's Chrome browser?
"
200,node.js,"I just installed Node.js and npm (for additional modules).

How can I update Node.js and the modules which I'm using to the latest versions?

Can npm do it, or do I have to remove and reinstall Node.js and npm to get the next versions?

I followed this steps in the npm section.
"
201,html,"I need to match all of these opening tags:

&lt;p&gt;
&lt;a href=""foo""&gt;


But not these:

&lt;br /&gt;
&lt;hr class=""foo"" /&gt;


I came up with this and wanted to make sure I've got it right. I am only capturing the a-z.

&lt;([a-z]+) *[^/]*?&gt;


I believe it says:


Find a less-than, then
Find (and capture) a-z one or more times, then
Find zero or more spaces, then
Find any character zero or more times, greedy, except /, then
Find a greater-than


Do I have that right? And more importantly, what do you think?
"
202,python,"What is the Python equivalent of Perl's chomp function, which removes the last character of a string if it is a newline?
"
203,oop,"What exactly is the difference between an interface and an abstract class?
"
204,javascript,"I've been trying to find a way to write to a file when using Node.js, but with no success. How can I do that?
"
205,algorithm,"Whilst starting to learn lisp, I've come across the term tail-recursive. What does it mean exactly?
"
206,git,"I have a repository in Git. I made a branch, then did some changes both to the master and to the branch.

Then, tens of commits later, I realized the branch is in much better state than the master, so I want the branch to ""become"" the master and disregard the changes on master.

I cannot merge it, because I don't want to keep the changes on master. What should I do?

Extra: In this case, the 'old' master has already been push-ed to another repository such as GitHub. How does this change things?
"
207,java,"I've been looking for a simple Java algorithm to generate a pseudo-random alpha-numeric string.  In my situation it would be used as a unique session/key identifier that would ""likely"" be unique over 500K+ generation (my needs don't really require anything much more sophisticated).  

Ideally, I would be able to specify a length depending on my uniqueness needs. For example, a generated string of length 12 might look something like ""AEYGF7K0DM1X"".  
"
208,python,"Given an item, how can I count its occurrences in a list in Python?
"
209,javascript,"I've got an array:

myArray = [{'id':'73','foo':'bar'},{'id':'45','foo':'bar'}, etc.]


I'm unable to change the structure of the array. I'm being passed an id of 45, and I want to get 'bar' for that object in the array. 

How do I do this in JavaScript or using jQuery?
"
210,php,"I have checked my PHP ini file (php.ini) and display_errors is set and also error reporting is E_ALL. I have restarted my Apache webserver.

I have even put these lines at the top of my script, and it doesn't even catch simple parse errors. For example, I declare variables with a ""$"" and I don't close statements"";"". But all my scripts show a blank page on these errors, but I want to actually see the errors in my browser output. 

error_reporting(E_ALL);
ini_set('display_errors', 1);


What is left to do?
"
211,python,"Is it possible to have static methods in Python which I could call without initializing a class, like:

ClassName.static_method()

"
212,git,"Consider the following scenario:

I have developed a small experimental project A in its own Git repo. It has now matured, and I'd like A to be part of larger project B, which has its own big repository. I'd now like to add A as a subdirectory of B.

How do I merge A into B, without losing history on any side?
"
213,c#,"I have some code and when it executes, it throws a NullReferenceException, saying:


  Object reference not set to an instance of an object.


What does this mean, and what can I do to fix this error?
"
214,git,"Due to some bad cherry-picking, my local Git repository is currently five commits ahead of the origin, and not in a good state. I want to get rid of all these commits and start over again.

Obviously, deleting my working directory and re-cloning would do it, but downloading everything from GitHub again seems like overkill, and not a good use of my time.

Maybe git revert is what I need, but I don't want to end up 10 commits ahead of the origin (or even six), even if it does get the code itself back to the right state. I just want to pretend the last half-hour never happened.

Is there a simple command that will do this? It seems like an obvious use case, but I'm not finding any examples of it.



Note that this question is specifically about commits, not about:


untracked files
unstaged changes
staged, but uncommitted changes

"
215,git,"I have a Git repository which contains a number of subdirectories. Now I have found that one of the subdirectories is unrelated to the other and should be detached to a separate repository.

How can I do this while keeping the history of the files within the subdirectory?

I guess I could make a clone and remove the unwanted parts of each clone, but I suppose this would give me the complete tree when checking out an older revision etc. This might be acceptable, but I would prefer to be able to pretend that the two repositories doesn't have a shared history.

Just to make it clear, I have the following structure:

XYZ/
    .git/
    XY1/
    ABC/
    XY2/


But I would like this instead:

XYZ/
    .git/
    XY1/
    XY2/
ABC/
    .git/
    ABC/

"
216,c++,"What is the easiest way to convert from int to equivalent string in C++.  I am aware of two methods. Is there any easier way?

(1)

int a = 10;
char *intStr = itoa(a);
string str = string(intStr);


(2)

int a = 10;
stringstream ss;
ss &lt;&lt; a;
string str = ss.str();

"
217,proxy,"What is the difference between a proxy server and a reverse proxy server?
"
218,git,"I have a script that works fine in one branch and is broken in another. I want to look at the two versions side-by-side and see what's different. Is there a way to do this?
To be clear I'm not looking for a compare tool (I use Beyond Compare). I'm looking for a Git diff command that will allow me to compare the master version to my current branch version to see what has changed. I'm not in the middle of a merge or anything. I just want to say something like
git diff mybranch/myfile.cs master/myfile.cs

"
219,javascript,"The new keyword in JavaScript can be quite confusing when it is first encountered, as people tend to think that JavaScript is not an object-oriented programming language.


What is it?
What problems does it solve?
When is it appropriate and when not?

"
220,arrays,"I want to write a script that loops through 15 strings (array possibly?) Is that possible?

Something like:

for databaseName in listOfNames
then
  # Do something
end

"
221,multithreading,"What is the technical difference between a process and a thread?

I get the feeling a word like 'process' is overused and there are also hardware and software threads. How about light-weight processes in languages like Erlang? Is there a definitive reason to use one term over the other?
"
222,javascript,"How do I display the content of a JavaScript object in a string format like when we alert a variable?

The same formatted way I want to display an object.
"
223,javascript,"What is the fundamental difference between bower and npm? Just want something plain and simple. I've seen some of my colleagues use bower and npm interchangeably in their projects.
"
224,git,"I have changes to a file, plus a new file, and would like to use git stash to put them away while I switch to another task.  But git stash by itself stashes only the changes to the existing file; the new file remains in my working tree, cluttering up my future work.  How do I stash this untracked file?
"
225,sql,"I have multiple set of data to insert at once, say 4 rows. My table has three columns: Person, Id and Office.

INSERT INTO MyTable VALUES (""John"", 123, ""Lloyds Office"");
INSERT INTO MyTable VALUES (""Jane"", 124, ""Lloyds Office"");
INSERT INTO MyTable VALUES (""Billy"", 125, ""London Office"");
INSERT INTO MyTable VALUES (""Miranda"", 126, ""Bristol Office"");


Can I insert all 4 rows in a single SQL statement?
"
226,javascript,"I have a very simple JavaScript array that may or may not contain duplicates.

var names = [""Mike"",""Matt"",""Nancy"",""Adam"",""Jenny"",""Nancy"",""Carl""];


I need to remove the duplicates and put the unique values in a new array.

I could point to all the codes that I've tried but I think it's useless because they don't work. I accept jQuery solutions too.

Similar question:


Get all non-unique values (i.e.: duplicate/more than one occurrence) in an array

"
227,java,"The following print statement would print ""hello world"".
Could anyone explain this?

System.out.println(randomString(-229985452) + "" "" + randomString(-147909649));


And randomString() looks like this:

public static String randomString(int i)
{
    Random ran = new Random(i);
    StringBuilder sb = new StringBuilder();
    while (true)
    {
        int k = ran.nextInt(27);
        if (k == 0)
            break;

        sb.append((char)('`' + k));
    }

    return sb.toString();
}

"
228,git,"When is it recommended to use Git rebase vs. Git merge?

Do I still need to merge after a successful rebase?
"
229,git,"I was always under the impression that you could give a stash a name by doing git stash save stashname, which you could later on apply by doing git stash apply stashname. But it seems that in this case all that happens is that stashname will be used as the stash description.

Is there no way to actually name a stash? If not, what would you recommend to achieve equivalent functionality? Essentially I have a small stash which I would periodically like to apply, but don't want to always have to hunt in git stash list what its actual stash number is.
"
230,sql-server,"What is the difference between LEFT JOIN and LEFT OUTER JOIN?
"
231,search,"I'd like to search for an upper case word, for example COPYRIGHT in a file. I tried performing a search like:

/copyright/i    # Doesn't work


but it doesn't work.  I know that in Perl, if I give the i flag into a regex it will turn the regex into a case-insensitive regex. It seems that Vim  has its own way to indicate a case-insensitive regex.
"
232,c#,"Ran across this line of code:

FormsAuth = formsAuth ?? new FormsAuthenticationWrapper();


What do the two question marks mean, is it some kind of ternary operator?
It's hard to look up in Google.
"
233,javascript,"Can you please describe what the TypeScript language is?

What can it do that JavaScript or available libraries cannot do, that would give me reason to consider it?
"
234,git,"I ""accidentally"" pushed a commit to GitHub.

Is it possible to remove this commit?

I want to revert my GitHub repository as it was before this commit.
"
235,python,"Is there a way to delete an item from a dictionary in Python?

Additionally, how can I delete an item from a dictionary to return a copy (i.e., not modifying the original)?
"
236,c#,"A C# desktop application (on the Visual Studio Express/Community edition) worked, but then it didn't work 5 seconds later.
I tried the following:

Ensure debug configuration, debug flag, and full debug information are set on all assemblies.
Delete all bin and obj folders and all DLL files related to the project from my entire machine.
Recreate projects causing the problem from scratch.
Reboot.

I have two Windows Forms projects in the solution. One of them loads the debug information, one doesn't. They both refer to the assembly I'm trying to get debug information on in exactly the same way in the project file. Any ideas?

I want to add here, mostly for myself when I come back to review this question, that symbols are not loaded until the assembly is loaded, and the assembly is not loaded until it is needed. If the breakpoint is in a library that is only used in one function in your main assembly, the symbols will not be loaded (and it will show the breakpoint as not being hit) until that function is called.
"
237,python,"How do you append to the file instead of overwriting it? Is there a special function that appends to the file?
"
238,git,"If I have a file or directory that is a symbolic link and I commit it to a Git repository, what happens to it?

I would assume that it leaves it as a symbolic link until the file is deleted and then if you pull the file back from an old version it just creates a normal file.

What does it do when I delete the file it references? Does it just commit the dangling link?
"
239,html,"How do you auto-resize a large image so that it will fit into a smaller width div container whilst maintaining its width:height ratio?



Example: stackoverflow.com - when an image is inserted onto the editor panel and the image is too large to fit onto the page, the image is automatically resized.
"
240,javascript,"Is there a way to detect whether or not a user is using a mobile device in jQuery? Something similar to the CSS @media attribute? I would like to run a different script if the browser is on a handheld device.
The jQuery $.browser function is not what I am looking for.
"
241,git,"After the last commit, I modified a bunch of files in my working copy, but I want to undo the changes to one of those files, as in reset it to the same state as the most recent commit.

However, I only want to undo the working copy changes of just that one file alone, nothing else with it.

How do I do that?
"
242,javascript,"I would like to move one DIV element inside another. For example, I want to move this (including all children):

&lt;div id=""source""&gt;
...
&lt;/div&gt;


into this:

&lt;div id=""destination""&gt;
...
&lt;/div&gt;


so that I have this:

&lt;div id=""destination""&gt;
  &lt;div id=""source""&gt;
    ...
  &lt;/div&gt;
&lt;/div&gt;

"
243,html,"This is one of the minor CSS problems that plague me constantly.
How do folks around Stack Overflow vertically align checkboxes and their labels consistently cross-browser?
Whenever I align them correctly in Safari (usually using vertical-align: baseline on the input), they're completely off in Firefox and IE.
Fix it in Firefox, and Safari and IE are inevitably messed up. I waste time on this every time I code a form.
Here's the standard code that I work with:


&lt;form&gt;
    &lt;div&gt;
        &lt;label&gt;&lt;input type=""checkbox"" /&gt; Label text&lt;/label&gt;
    &lt;/div&gt;
&lt;/form&gt;



I usually use Eric Meyer's reset, so form elements are relatively clean of overrides. Looking forward to any tips or tricks that you have to offer!
"
244,css,"I have a div that has background:transparent, along with border. Underneath this div, I have more elements.

Currently,  I'm able to click the underlying elements when I click outside of the overlay div. However, I'm unable to click the underlying elements when clicking directly on the overlay div. 

I want to be able to click through this div so that I can click on the underlying elements.


"
245,bash,"We've got a PHP application and want to count all the lines of code under a specific directory and its subdirectories.
We don't need to ignore comments, as we're just trying to get a rough idea.
wc -l *.php 

That command works great for a given directory, but it ignores subdirectories. I was thinking the following comment might work, but it is returning 74, which is definitely not the case...
find . -name '*.php' | wc -l

What's the correct syntax to feed in all the files from a directory resursively?
"
246,python,"What is the best possible way to check if a string can be represented as a number in Python?
The function I currently have right now is:
def is_number(s):
    try:
        float(s)
        return True
    except ValueError:
        return False

Which, not only is ugly and slow, but also seems clunky. However, I haven't found a better method because calling float() in the main function is even worse.
"
247,java,"I have a string, ""004-034556"", that I want to split into two strings:

string1=""004"";
string2=""034556"";


That means the first string will contain the characters before '-', and the second string will contain the characters after '-'. I also want to check if the string has '-' in it. If not, I will throw an exception. How can I do this?
"
248,docker,"How do I transfer a Docker image from one machine to another one without using a repository, no matter private or public?

I create my own image in VirtualBox, and when it is finished I try to deploy to other machines to have real usage.

Since it is based on my own based image (like Red Hat Linux), it cannot be recreated from a Dockerfile. My dockerfile isn't easily portable.

Are there simple commands I can use? Or another solution?
"
249,eclipse,"How do I duplicate a whole line in Vim in a similar way to Ctrl+D in IntelliJ IDEA/ Resharper or Ctrl+Alt+&#8593;/&#8595; in Eclipse?
"
250,javascript,"How do I scroll to the top of the page using JavaScript? The scrollbar instantly jumping to the top of the page is desirable too as I'm not looking to achieve smooth scrolling.
"
251,javascript,"I'd like to tell the difference between valid and invalid date objects in JS, but couldn't figure out how:

var d = new Date(""foo"");
console.log(d.toString()); // shows 'Invalid Date'
console.log(typeof d); // shows 'object'
console.log(d instanceof Date); // shows 'true'


Any ideas for writing an isValidDate function?


Ash recommended Date.parse for parsing date strings, which gives an authoritative way to check if the date string is valid.
What I would prefer, if possible, is have my API accept a Date instance and to be able to check/assert whether it's valid or not. Borgar's solution does that, but I need to test it across browsers. I also wonder whether there's a more elegant way.
Ash made me consider not having my API accept Date instances at all, this would be easiest to validate.
Borgar suggested testing for a Date instance, and then testing for the Date's time value. If the date is invalid, the time value is NaN. I checked with ECMA-262 and this behavior is in the standard, which is exactly what I'm looking for.

"
252,html,"I'm using placeholders for text inputs which is working out just fine. But I'd like to use a placeholder for my selectboxes as well. Of course I can just use this code:

&lt;select&gt;
    &lt;option value=""""&gt;Select your option&lt;/option&gt;
    &lt;option value=""hurr""&gt;Durr&lt;/option&gt;
&lt;/select&gt;


But the 'Select your option' is in black instead of lightgrey. So my solution could possibly be CSS-based. jQuery is fine too.

This only makes the option grey in the dropdown (so after clicking the arrow):

option:first {
    color: #999;
}


The question is: How do people create placeholders in selectboxes? But it has already been answered, cheers.

And using this results in the selected value always being grey (even after selecting a real option):

select {
    color: #999;
}

"
253,javascript,"This is valid and returns the string ""10"" in JavaScript (more examples here):



console.log(++[[]][+[]]+[+[]])




Why? What is happening here?
"
254,javascript,"How do you check if a value is an object in JavaScript?
"
255,python,"When deleting a column in a DataFrame I use:
del df['column_name']

And this works great. Why can't I use the following?
del df.column_name

Since it is possible to access the column/Series as df.column_name, I expected this to work.
"
256,python,"What is a Pythonic way to pad a numeric string with zeroes to the left, i.e. so the numeric string has a specific length?
"
257,language-agnostic,"Why prefer composition over inheritance?  What trade-offs are there for each approach?  When should you choose inheritance over composition?
"
258,javascript,"What's the fastest way to count the number of keys/properties of an object? Is it possible to do this without iterating over the object?  I.e., without doing:
var count = 0;
for (k in myobj) if (myobj.hasOwnProperty(k)) ++count;

(Firefox did provide a magic __count__ property, but this was removed somewhere around version 4.)
"
259,python,"Does Python have something like an empty string variable where you can do:

if myString == string.empty:


Regardless, what's the most elegant way to check for empty string values? I find hard coding """" every time for checking an empty string not as good.
"
260,java,"I am relatively new to Java, and often find that I need to sort a Map&lt;Key, Value&gt; on the values.

Since the values are not unique, I find myself converting the keySet into an array, and sorting that array through array sort with a custom comparator that sorts on the value associated with the key.

Is there an easier way?
"
261,c++,"One of the most interesting projects I've worked on in the past couple of years was a project about image processing. The goal was to develop a system to be able to recognize Coca-Cola 'cans' (note that I'm stressing the word 'cans', you'll see why in a minute). You can see a sample below, with the can recognized in the green rectangle with scale and rotation.



Some constraints on the project:


The background could be very noisy.
The can could have any scale or rotation or even orientation (within reasonable limits).
The image could have some degree of fuzziness (contours might not be entirely straight).
There could be Coca-Cola bottles in the image, and the algorithm should only detect the can!
The brightness of the image could vary a lot (so you can't rely ""too much"" on color detection).
The can could be partly hidden on the sides or the middle and possibly partly hidden behind a bottle.
There could be no can at all in the image, in which case you had to find nothing and write a message saying so.


So you could end up with tricky things like this (which in this case had my algorithm totally fail):



I did this project a while ago, and had a lot of fun doing it, and I had a decent implementation. Here are some details about my implementation:

Language: Done in C++ using OpenCV library.

Pre-processing: For the image pre-processing, i.e. transforming the image into a more raw form to give to the algorithm, I used 2 methods:


Changing color domain from RGB to HSV and filtering based on ""red"" hue, saturation above a certain threshold to avoid orange-like colors, and filtering of low value to avoid dark tones. The end result was a binary black and white image, where all white pixels would represent the pixels that match this threshold. Obviously there is still a lot of crap in the image, but this reduces the number of dimensions you have to work with.
  
Noise filtering using median filtering (taking the median pixel value of all neighbors and replace the pixel by this value) to reduce noise.
Using Canny Edge Detection Filter to get the contours of all items after 2 precedent steps.



Algorithm: The algorithm itself I chose for this task was taken from this awesome book on feature extraction and called Generalized Hough Transform (pretty different from the regular Hough Transform). It basically says a few things:


You can describe an object in space without knowing its analytical equation (which is the case here).
It is resistant to image deformations such as scaling and rotation, as it will basically test your image for every combination of scale factor and rotation factor.
It uses a base model (a template) that the algorithm will ""learn"".
Each pixel remaining in the contour image will vote for another pixel which will supposedly be the center (in terms of gravity) of your object, based on what it learned from the model.


In the end, you end up with a heat map of the votes, for example here all the pixels of the contour of the can will vote for its gravitational center, so you'll have a lot of votes in the same pixel corresponding to the center, and will see a peak in the heat map as below:



Once you have that, a simple threshold-based heuristic can give you the location of the center pixel, from which you can derive the scale and rotation and then plot your little rectangle around it (final scale and rotation factor will obviously be relative to your original template). In theory at least...

Results: Now, while this approach worked in the basic cases, it was severely lacking in some areas:


It is extremely slow! I'm not stressing this enough. Almost a full day was needed to process the 30 test images, obviously because I had a very high scaling factor for rotation and translation, since some of the cans were very small.
It was completely lost when bottles were in the image, and for some reason almost always found the bottle instead of the can (perhaps because bottles were bigger, thus had more pixels, thus more votes)
Fuzzy images were also no good, since the votes ended up in pixel at random locations around the center, thus ending with a very noisy heat map.
In-variance in translation and rotation was achieved, but not in orientation, meaning that a can that was not directly facing the camera objective wasn't recognized.


Can you help me improve my specific algorithm, using exclusively OpenCV features, to resolve the four specific issues mentioned?

I hope some people will also learn something out of it as well, after all I think not only people who ask questions should learn. :)
"
262,c#,"I know from reading the Microsoft documentation that the ""primary"" use of the IDisposable interface is to clean up unmanaged resources.

To me, ""unmanaged"" means things like database connections, sockets, window handles, etc.  But, I've seen code where the Dispose() method is implemented to free managed resources, which seems redundant to me, since the garbage collector should take care of that for you.

For example:

public class MyCollection : IDisposable
{
    private List&lt;String&gt; _theList = new List&lt;String&gt;();
    private Dictionary&lt;String, Point&gt; _theDict = new Dictionary&lt;String, Point&gt;();

    // Die, clear it up! (free unmanaged resources)
    public void Dispose()
    {
        _theList.clear();
        _theDict.clear();
        _theList = null;
        _theDict = null;
    }


My question is, does this make the garbage collector free memory used by MyCollection any faster than it normally would?

edit:  So far people have posted some good examples of using IDisposable to clean up unmanaged resources such as database connections and bitmaps.  But suppose that _theList in the above code contained a million strings, and you wanted to free that memory now, rather than waiting for the garbage collector.  Would the above code accomplish that?
"
263,html,"When looking at most sites (including SO), most of them use:

&lt;input type=""button"" /&gt;


instead of:

&lt;button&gt;&lt;/button&gt;



What are the main differences between the two, if any?
Are there valid reasons to use one instead of the other?
Are there valid reasons to use combine them?
Does using &lt;button&gt; come with compatibility issues, seeing it is not very widely used?

"
264,visual-studio,"In Visual Studio is there a command to collapse/expand all the sections of code in a file?
"
265,docker,"Is there a command I can run to get the container's IP address right from the host after a new container is created?

Basically, once Docker creates the container, I want to roll my own code deployment and container configuration scripts.
"
